edition_key,facsimile_url
Paris_1558a,https://www.google.com/books/edition/Euclidis_elementorum_libri_quindecim_The/acNlAAAAcAAJ
Strasbourg_1559,http://resolver.staatsbibliothek-berlin.de/SBB0001AEB400000000
Basel_1562,https://www.google.com/books/edition/Die_Sechs_Erste_B%C3%BCcher_Euclidis_Vom_anf/dwZZAAAAcAAJ
Basel_1562,https://dlc.mpg.de/image/868394203/5/
Cologne_1564,https://www.google.com/books/edition/Tractatus_De_Usu_Globi_Astriferi/zMk7AAAAcAAJ
Cologne_1564,"https://www.digitale-sammlungen.de/en/view/bsb00016105?q=%28Euclidis+Elementa%29&page=4,5"
Cologne_1564,"https://www.digitale-sammlungen.de/en/view/bsb00035113?q=%28Euclidis+Elementa%29&page=10,11"
Wittenberg_1564,https://www.google.com/books/edition/Arithmetices_Evclideae_Liber_Primvs/1ppoAAAAcAAJ
Wittenberg_1564,"https://www.digitale-sammlungen.de/en/view/bsb00015396?page=6,7"
Venice_1565,https://www.google.com/books/edition/Evclide_Megarense_Philosopho_Solo_Introd/fcNZAAAAcAAJ
Paris_1566,https://www.google.com/books/edition/Euclidis_Elementa_geometrica_libris_15_a/9nWsxqL3RZgC
Paris_1566,https://www.digitale-sammlungen.de/en/view/bsb11199175
Paris_1566,https://www.google.com/books/edition/Elementa_geometrica/hJdpAAAAcAAJ
Venice_1569,https://www.google.com/books/edition/Evclide_Megarense_Acvtissimo_Philosopho/qV8nH4gk-ZQC
Venice_1569,https://echo-old.mpiwg-berlin.mpg.de/ECHOdocuView?url=/mpiwg/online/permanent/library/RZ3VMY2U/pageimg&viewMode=auto&pn=7&mode=imagepath
London_1570,https://archive.org/details/elementsgeometr00eucl/page/n21/mode/2up
Pesaro_1572,https://www.google.com/books/edition/Euclidis_elementorum_libri_XV/jEoRPuxe_pcC
Pesaro_1572,https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001102287104#
Pesaro_1572,https://dlc.mpg.de/image/868383821/6/
Urbino_1575,https://www.google.com/books/edition/De_gli_elementi_d_Euclides/TchCAAAAcAAJ
Urbino_1575,https://dlc.mpg.de/!image/868383848/6/-/
Venice_1575,https://www.google.com/books/edition/D_Francisci_Mavrolyci_Abbatis_Messanensi/93xmAAAAcAAJ
Venice_1585,https://www.google.com/books/edition/Euclide_megarense_acutissimo_philosopho/7NV6MduYLhMC
Venice_1586,https://www.google.com/books/edition/Evclide_Megarense_Acvtissimo_Philosopho/nMNZAAAAcAAJ
Arnhem_1603,https://www.google.com/books/edition/C_Dibvadii_In_Geometriam_Evclidis_priori/xHQ8AAAAcAAJ
Leiden_1606,https://www.google.com/books/edition/De_ses_eerste_boucken_Euclidis_van_de_be/QZllAAAAcAAJ
Geneva_1610,https://www.google.com/books/edition/Iacobi_Peletarii_Cenom_in_Euclidis_Eleme/6Rhbnf9YksYC
Paris_1612,https://www.google.ro/books/edition/Evclidis_elementvm_decimvm/Gu9X-HOWr_cC
Paris_1613,https://www.google.com/books/edition/Les_El%C3%A9mens_de_la_g%C3%A9om%C3%A9trie_d_Euclide/iIer_H_9YCUC
Paris_1615,https://www.google.com/books/edition/Les_quinze_livres_des_Elements_d_Euclide/XIhmAAAAcAAJ
Paris_1615,https://www.digitale-sammlungen.de/en/view/bsb11110481
Pesaro_1619a,https://www.google.com/books/edition/De_gli_Elementi_d_Euclide_libri_quindici/hz7yUkGqylcC
Paris_1621,https://www.google.com/books/edition/Les_quinze_livres_des_Elemens_d_Euclide/12w-AAAAcAAJ
Geneva_1628,https://www.google.com/books/edition/Les_Six_premiers_livres_des_El%C3%A9ments_g/N9bJgGgr3yQC
